"","V1","V2","V4","total"
"1","2020",1,"#coronavirus",1682651
"2","2020",1,"#wuhan",311061
"3","2020",1,"#china",272759
"4","2020",1,"#coronavirusoutbreak",81587
"5","2020",1,"#wuhancoronavirus",75525
"6","2020",2,"#coronavirus",3725382
"7","2020",2,"#covid19",680902
"8","2020",2,"#china",640933
"9","2020",2,"#wuhan",360844
"10","2020",2,"#coronavirusoutbreak",154486
"11","2020",3,"#coronavirus",4905626
"12","2020",3,"#covid19",3702412
"13","2020",3,"#covid<u+30fc>19",569439
"14","2020",3,"#corona",150423
"15","2020",3,"#covid2019",122756
"16","2020",4,"#covid19",6185638
"17","2020",4,"#coronavirus",4550657
"18","2020",4,"#stayhome",591431
"19","2020",4,"#covid",526357
"20","2020",4,"#covid<u+30fc>19",322735
"21","2020",5,"#covid19",6667390
"22","2020",5,"#coronavirus",4541717
"23","2020",5,"#covid",787328
"24","2020",5,"#stayhome",361755
"25","2020",5,"#covid<u+30fc>19",343572
"26","2020",6,"#covid19",9731431
"27","2020",6,"#coronavirus",3845994
"28","2020",6,"#covid",813911
"29","2020",6,"#stayhome",265989
"30","2020",6,"#covid<u+30fc>19",181537
"31","2020",7,"#covid19",9915172
"32","2020",7,"#coronavirus",3709599
"33","2020",7,"#covid",1048590
"34","2020",7,"#covid<u+30fc>19",650998
"35","2020",7,"#corona",108607
"36","2020",8,"#covid19",9018763
"37","2020",8,"#coronavirus",2828411
"38","2020",8,"#covid",818523
"39","2020",8,"#modijipostponejeeneet",394921
"40","2020",8,"#swamyjihelpjeeneet",358124
"41","2020",9,"#covid19",8007635
"42","2020",9,"#coronavirus",2220017
"43","2020",9,"#covid",880648
"44","2020",9,"#wearamask",301460
"45","2020",9,"#covidー19",235592
"46","2020",10,"#covid19",6295757
"47","2020",10,"#coronavirus",1682752
"48","2020",10,"#covid",748892
"49","2020",10,"#endsars",349939
"50","2020",10,"#trump",134068
"51","2020",11,"#covid19",6123249
"52","2020",11,"#coronavirus",1489396
"53","2020",11,"#covid",902350
"54","2020",11,"#lockdown",187369
"55","2020",11,"#corona",98347
"56","2020",12,"#covid19",5780794
"57","2020",12,"#coronavirus",1292900
"58","2020",12,"#covid",861544
"59","2020",12,"#lockdown",181233
"60","2020",12,"#covidー19",124871
"61","2021",1,"#covid19",6665081
"62","2021",1,"#coronavirus",1229008
"63","2021",1,"#covid",889490
"64","2021",1,"#lockdown",345610
"65","2021",1,"#largestvaccinedrive",71659
"66","2021",2,"#covid19",4657584
"67","2021",2,"#coronavirus",779460
"68","2021",2,"#covid",609267
"69","2021",2,"#lockdown",228695
"70","2021",2,"#covidー19",58322
"71","2021",3,"#covid19",5502924
"72","2021",3,"#coronavirus",893257
"73","2021",3,"#covid",767861
"74","2021",3,"#lockdown",118891
"75","2021",3,"#activoscontraelvirus",107547
"76","2021",4,"#covid19",6887936
"77","2021",4,"#covid",1176113
"78","2021",4,"#coronavirus",1146594
"79","2021",4,"#corona",129954
"80","2021",4,"#india",117147
"81","2021",5,"#covid19",6370240
"82","2021",5,"#covid",1020801
"83","2021",5,"#coronavirus",956335
"84","2021",5,"#hopetogaza",96632
"85","2021",5,"#cancelboardexams",85771
"86","2021",6,"#covid19",4725452
"87","2021",6,"#covid",703725
"88","2021",6,"#coronavirus",611094
"89","2021",6,"#whatshappeninginmyanmar",230761
"90","2021",6,"#lockdown",180650
"91","2021",7,"#covid19",5090523
"92","2021",7,"#whatshappeninginmyanmar",2657318
"93","2021",7,"#covid",607303
"94","2021",7,"#myanmarneedso2",550607
"95","2021",7,"#july11coup",461257
"96","2021",8,"#covid19",4743137
"97","2021",8,"#covid",911338
"98","2021",8,"#whatshappeninginmyanmar",560735
"99","2021",8,"#coronavirus",410358
"100","2021",8,"#kingkicchabdaycdp",33995
"101","2021",9,"#covid19",3550771
"102","2021",9,"#covid",645421
"103","2021",9,"#coronavirus",349123
"104","2021",9,"#unga",140728
"105","2021",9,"#bts",108585
"106","2021",10,"#covid19",1977874
"107","2021",10,"#covid",375784
"108","2021",10,"#coronavirus",224000
"109","2021",10,"#mj",65252
"110","2021",10,"#happyvirus",64718
"111","2021",11,"#covid19",2909163
"112","2021",11,"#covid",570166
"113","2021",11,"#omicron",375106
"114","2021",11,"#coronavirus",363069
"115","2021",11,"#corona",226053
"116","2021",12,"#covid19",2662087
"117","2021",12,"#omicron",1383586
"118","2021",12,"#covid",589619
"119","2021",12,"#coronavirus",266118
"120","2021",12,"#lockdown",71117
"121","2022",1,"#covid19",3827720
"122","2022",1,"#covid",1015232
"123","2022",1,"#omicron",931342
"124","2022",1,"#coronavirus",420284
"125","2022",1,"#corona",78307
"126","2022",2,"#covid19",2060580
"127","2022",2,"#covid",588686
"128","2022",2,"#omicron",215411
"129","2022",2,"#coronavirus",214276
"130","2022",2,"#v",39948
"131","2022",3,"#covid19",1670519
"132","2022",3,"#covid",475823
"133","2022",3,"#coronavirus",145136
"134","2022",3,"#sotu",56013
"135","2022",3,"#longcovid",45494
"136","2022",4,"#covid19",1404872
"137","2022",4,"#covid",450363
"138","2022",4,"#coronavirus",119212
"139","2022",4,"#shanghai",91435
"140","2022",4,"#worldhealthday2022",55721
"141","2022",5,"#covid19",1126753
"142","2022",5,"#covid",313073
"143","2022",5,"#coronavirus",129286
"144","2022",5,"#monkeypox",114196
"145","2022",5,"#bts",64132
"146","2022",6,"#covid19",1010584
"147","2022",6,"#covid",291342
"148","2022",6,"#coronavirus",100660
"149","2022",6,"#vikrantronatrailer",64721
"150","2022",6,"#longcovid",52682
"151","2022",7,"#covid19",273400
"152","2022",7,"#covid",168893
"153","2022",7,"#coronavirus",58446
"154","2022",7,"#vikrantrona",51346
"155","2022",7,"#vronjuly28",23624
"156","2022",8,"#covid19",216081
"157","2022",8,"#covid",138558
"158","2022",8,"#prevención😷|",65968
"159","2022",8,"#coronavirus",62690
"160","2022",8,"#nenexmaskeddancingking",33373
"161","2022",9,"#covid19",742932
"162","2022",9,"#covid",268665
"163","2022",9,"#prevención😷|",96739
"164","2022",9,"#longcovid",61439
"165","2022",9,"#cuídateyrefuerzatuvacuna",45030
"166","2022",10,"#covid19",507116
"167","2022",10,"#covid",283967
"168","2022",10,"#pfizer",206209
"169","2022",10,"#vaccine",130436
"170","2022",10,"#prevención😷|",46675
